"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"25511","5","QC","20201127","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201127_03/07/2020_NoBlend","05","05_0"
"25561","5","QC","20201127","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201127_03/07/2020_NoBlend","05","05_0"
"25601","6","QC","20201127","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201127_03/07/2020_NoBlend","10","10_100"
"25611","6","QC","20201127","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201127_03/07/2020_NoBlend","10","10_100"
"25661","1","QC","20201201","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201201_03/07/2020_NoBlend","01","01_0"
"25681","1","QC","20201201","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201201_03/07/2020_NoBlend","01","01_0"
"25701","10","QC","20201201","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201201_03/07/2020_NoBlend","50","50_100"
"25711","10","QC","20201201","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201201_03/07/2020_NoBlend","50","50_100"
"25791","5","QC","20201201","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201201_03/07/2020_NoBlend","05","05_0"
"25801","5","QC","20201201","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201201_03/07/2020_NoBlend","05","05_0"
"25811","6","QC","20201201","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201201_03/07/2020_NoBlend","10","10_100"
"25851","6","QC","20201201","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201201_03/07/2020_NoBlend","10","10_100"
"25881","1","QC","20201202","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201202_03/07/2020_NoBlend","01","01_0"
"25911","1","QC","20201202","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201202_03/07/2020_NoBlend","01","01_0"
"25941","10","QC","20201202","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201202_03/07/2020_NoBlend","50","50_100"
"25971","10","QC","20201202","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201202_03/07/2020_NoBlend","50","50_100"
"26011","5","QC","20201202","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201202_03/07/2020_NoBlend","05","05_0"
"26021","5","QC","20201202","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201202_03/07/2020_NoBlend","05","05_0"
"26071","6","QC","20201202","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201202_03/07/2020_NoBlend","10","10_100"
"26081","6","QC","20201202","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201202_03/07/2020_NoBlend","10","10_100"
"26121","1","QC","20201203","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201203_03/07/2020_NoBlend","01","01_0"
"26151","1","QC","20201203","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201203_03/07/2020_NoBlend","01","01_0"
"26201","10","QC","20201203","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201203_03/07/2020_NoBlend","50","50_100"
"26211","10","QC","20201203","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201203_03/07/2020_NoBlend","50","50_100"
"26251","5","QC","20201203","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201203_03/07/2020_NoBlend","05","05_0"
"26261","5","QC","20201203","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201203_03/07/2020_NoBlend","05","05_0"
"26311","6","QC","20201203","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201203_03/07/2020_NoBlend","10","10_100"
"26341","6","QC","20201203","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201203_03/07/2020_NoBlend","10","10_100"
"26381","1","QC","20201204","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201204_03/07/2020_NoBlend","01","01_0"
"26391","1","QC","20201204","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201204_03/07/2020_NoBlend","01","01_0"
"26441","10","QC","20201204","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201204_03/07/2020_NoBlend","50","50_100"
"26451","10","QC","20201204","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201204_03/07/2020_NoBlend","50","50_100"
"26491","5","QC","20201204","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201204_03/07/2020_NoBlend","05","05_0"
"26501","5","QC","20201204","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201204_03/07/2020_NoBlend","05","05_0"
"26561","6","QC","20201204","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201204_03/07/2020_NoBlend","10","10_100"
"26581","6","QC","20201204","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201204_03/07/2020_NoBlend","10","10_100"
